Region,Name,Long,Lat
Chiang Mai,Hug Hostel,18.797343,98.986518
Pai,Circus Hostel,19.362269,98.448288
Mae Hong Son,Lod Cave,19.568300,98.279557
Mae Hong Son,Crossroad Restaurant,19.302232,97.965386
Kanchanaburi,Elephant Haven,14.111748,99.146905
Bangkok,Chinatown,13.740401,100.509770
Siem Reap,One Stop Hostel,13.353570,103.853283
Siem Reap,Angkor Wat,13.412442,103.866997
Siem Reap,Kampong Phluk Floating Village,13.208812,103.973530
Ho Chi Minh,Long Hostel,10.766793,106.689570
Ho Chi Minh,Cu Chi Tunnels,11.142133,106.462370
Dalat,Mr. Peace Backpacker's House,11.943832,108.431429
Hoi An,Seaside Bungalow,15.926159,108.320436
Hue,Dreamers Homestay,16.470743,107.595689
Hue,Abandoned Water Park,16.407875,107.578556
Ha Giang,Jasmine Hostel,22.805345,104.975631
Ha Giang,Lung Khuy Cave,23.078859,105.019898
Yen Minh,Homestay bongbang,23.116983,105.138178
Yen Minh,Lung Cu Flag Point,23.363585,105.316737
Dong Van,Hostel,23.278384,105.361565
Ma Pi Leng,Ma Pi Leng Homestay,23.240737,105.411174
Du Gia,Du Gia Waterfall,22.925914,105.198512
Du Gia,Du Gia Homestay,22.929936,105.226641
Hanoi,Cocoon Inn,21.035526,105.850164
Hanoi,Train Street,21.017590,105.840918
Kyoto,Khaosan Kyoto Guesthouse,35.002201,135.766575
Kyoto,Golden Pavillion,35.039347,135.729241
Kyoto,Fushimi Inari Taisha,34.967123,135.772673
Nara,Nara Park, 34.685219, 135.843002
Seto,Seto Park Hotel,35.227801,137.102457
Nagoya,Nagoya Castle,35.185476,136.899214
Tokyo,Art n Shelter,35.604256,139.742111
Tokyo,Shibuya Crossing,35.659462,139.700577
